Longtitude,Latitude,id,ISO3166_2_CODE,Name_EN,Name_VI,Total_Forest_Area,Natural_Forest_Area,Planted_Forest_Area,Coverage_Percentage
114.6120215,10.92261693,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.0817535,10.92673258,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.660084,10.97448709,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.7031907,11.02090724,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.182226,11.03506243,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.2167028,11.05480162,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.374858,11.08508664,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.7981458,11.10670678,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.1116742,11.35943232,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.5716603,11.34492711,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.2124136,11.37964682,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.3254674,11.38385694,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.6448984,11.40310726,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.1548798,11.41508223,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.3498693,11.4466222,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.6898323,11.47060194,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
114.6363611,11.44429195,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.209332,11.47308202,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.3924502,11.51923698,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.3048672,11.54998706,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.3715626,11.62823239,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.4213005,11.67207724,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.4756543,11.68763685,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
116.1644866,12.03527152,,VN-56,Truong Sa (Khanh Hoa),Khánh Hoà,-,-,-,-
105.168506,22.12907617,,VN-8,Tuyen Quang,Tuyên Quang,426.205,233.133,193.072,"65,21"
105.9687308,10.10890607,,VN-86,Vinh Long,Vĩnh Long,-,-,-,-
105.5327573,21.42928741,,VN-26,Vinh Phuc,Vĩnh Phúc,33.357,12.049,21.308,"25,00"
104.4949454,21.82365717,,VN-15,Yen Bai,Yên Bái,463.811,215.913,247.898,"63,00"
